measure,location,sex,year,val,upper,lower
incidence_per_1000_uninfected,SYC,SEX_MLE,2000,,,
incidence_per_1000_uninfected,GMB,SEX_FMLE,2023,0.49,0.84,0.28
incidence_per_1000_uninfected,CAF,SEX_BTSX,2022,0.78,1.4,0.41
incidence_per_1000_uninfected,COD,SEX_MLE,2017,0.27,0.37,0.19
incidence_per_1000_uninfected,ERI,SEX_BTSX,2022,0.12,0.19,0.1
incidence_per_1000_uninfected,ETH,SEX_FMLE,2015,0.22,0.42,0.13
incidence_per_1000_uninfected,KEN,SEX_BTSX,1990,9.6,14.9,6.1
incidence_per_1000_uninfected,MOZ,SEX_FMLE,1990,3.3,4.3,2.7
incidence_per_1000_uninfected,NER,SEX_FMLE,1996,0.63,0.77,0.53
incidence_per_1000_uninfected,GNB,SEX_BTSX,2017,0.84,1.1,0.6
incidence_per_1000_uninfected,GNB,SEX_BTSX,2006,2.5,3.0,2.1
incidence_per_1000_uninfected,STP,SEX_FMLE,2004,,,
incidence_per_1000_uninfected,GMB,SEX_FMLE,1995,1.3,1.8,0.84
incidence_per_1000_uninfected,GNQ,SEX_FMLE,2002,,,
incidence_per_1000_uninfected,LSO,SEX_FMLE,2013,12.5,15.0,10.5
incidence_per_1000_uninfected,MUS,SEX_MLE,2019,,,
incidence_per_1000_uninfected,BEN,SEX_BTSX,1996,1.4,1.7,1.2
incidence_per_1000_uninfected,ZWE,SEX_BTSX,2017,2.3,3.0,1.9
incidence_per_1000_uninfected,KEN,SEX_FMLE,2004,3.9,6.1,2.5
incidence_per_1000_uninfected,GMB,SEX_FMLE,2003,1.7,2.2,1.3
incidence_per_1000_uninfected,MUS,SEX_MLE,2005,,,
incidence_per_1000_uninfected,SEN,SEX_BTSX,2007,0.24,0.27,0.22
incidence_per_1000_uninfected,NGA,SEX_MLE,2009,0.82,1.0,0.73
incidence_per_1000_uninfected,BEN,SEX_MLE,2001,0.76,0.92,0.64
incidence_per_1000_uninfected,TGO,SEX_BTSX,1996,3.5,4.6,2.8
incidence_per_1000_uninfected,AGO,SEX_MLE,2023,0.36,0.44,0.29
incidence_per_1000_uninfected,COM,SEX_FMLE,2002,0.1,0.1,0.01
incidence_per_1000_uninfected,NAM,SEX_MLE,2023,1.2,1.6,0.97
incidence_per_1000_uninfected,SLE,SEX_BTSX,1992,1.1,1.6,0.74
incidence_per_1000_uninfected,GHA,SEX_BTSX,1991,2.3,2.8,1.7
incidence_per_1000_uninfected,KEN,SEX_MLE,1992,8.5,13.5,5.5
incidence_per_1000_uninfected,SYC,SEX_BTSX,2019,,,
