country,metric,year,"98-98-99 treatment, 2024 prevention",95-95-95 treatment and prevention reaches 2030 target,"95-95-95 treatment, 2024 level of prevention",2024 level all HIV services,Historical trend,"2024 level treatment, reduced prevention"
Eswatini,aids_deaths,2025,2674.5939499709134,2674.5939499709134,2674.5939499709134,2674.5939499709134,2674.5939499709134,2674.5939499709134
Eswatini,aids_deaths,2026,2599.698662012798,2611.349040139616,2613.013379872019,2634.649796393252,2636.3141361256544,
Eswatini,aids_deaths,2027,2423.278650378127,2494.845258871437,2498.1739383362424,2611.349040139616,2613.013379872019,
Eswatini,aids_deaths,2028,2263.502036067481,2368.3554392088427,2373.34845840605,2579.7265852239675,2583.0552646887727,
Eswatini,aids_deaths,2029,2127.0261780104715,2245.194299011053,2250.187318208261,2539.782431646306,2543.1111111111113,
Eswatini,aids_deaths,2030,2003.865037812682,2128.690517742874,2137.0122164048867,2494.845258871437,2494.845258871437,
Ethiopia,new_infections,2020,10504.81938,,,,,
Ethiopia,new_infections,2021,12618.26774,,,,,
Ethiopia,new_infections,2022,9672.83594,,,,,
Ethiopia,new_infections,2023,8717.07085,,,,,
Ethiopia,new_infections,2024,7983.27045,,,,,
Ethiopia,new_infections,2025,6723.291531156498,6723.291531156498,6723.291531156498,6723.291531156498,6723.291531156498,6723.291531156498
Ethiopia,new_infections,2026,6098.110576297646,5235.111617015741,6046.185247820997,6285.0417588135815,6527.013789514765,
Ethiopia,new_infections,2027,5392.964615584754,4425.076492780018,5554.971640431899,5924.679979185638,6278.810719396384,
Ethiopia,new_infections,2028,4733.512943931313,3738.62365031872,5118.798881228047,5600.66592949135,6058.647326655393,
Ethiopia,new_infections,2029,4122.8710810459215,3141.482372837258,4720.012358527384,5300.5375308963185,5856.138545596462,
Ethiopia,new_infections,2030,3471.727461948745,2940.01209834786,4448.962143879277,5030.5258228177445,5572.626252113959,
Ethiopia,aids_deaths,2020,13019.09567,,,,,
Ethiopia,aids_deaths,2021,11878.16176,,,,,
Ethiopia,aids_deaths,2022,11127.21204,,,,,
Ethiopia,aids_deaths,2023,10301.40519,,,,,
Ethiopia,aids_deaths,2024,9598.68938,,,,,
Ethiopia,aids_deaths,2025,8489.485746702596,8489.485746702596,8489.485746702596,8489.485746702596,8489.485746702596,8489.485746702596
Ethiopia,aids_deaths,2026,8008.923131470714,7958.552545738194,8000.754928378954,7870.063678910793,7874.147780456673,
Ethiopia,aids_deaths,2027,7532.444617784711,7314.625868671111,7399.030633952631,7520.192313147071,7531.083250602752,
Ethiopia,aids_deaths,2028,6898.047510991349,6736.044816338108,6846.315558076869,7227.49836902567,7245.196142391151,
Ethiopia,aids_deaths,2029,6424.291731669267,6343.971067933627,6474.662317401787,6985.175010636789,7008.31825273011,
Ethiopia,aids_deaths,2030,6006.352006807545,6014.520209899305,6152.018295277266,6721.069777336548,6746.9357537937885,
Gabon,new_infections,2020,2217.00886,,,,,
Gabon,new_infections,2021,2257.50684,,,,,
Gabon,new_infections,2022,2046.68357,,,,,
Gabon,new_infections,2023,1998.9521,,,,,
Gabon,new_infections,2024,1671.49984,,,,,
Gabon,new_infections,2025,1566.7106382978725,1541.4283687943264,1566.7106382978725,1566.7106382978725,1566.7106382978725,1566.7106382978725
Gabon,new_infections,2026,1425.2879432624113,989.958865248227,1407.9063829787235,1543.7985815602838,1731.045390070922,
Gabon,new_infections,2027,1208.018439716312,718.1744680851064,1317.8382978723405,1522.4666666666667,1838.495035460993,
Gabon,new_infections,2028,972.577304964539,502.48510638297876,1230.9304964539008,1499.554609929078,1958.5858156028369,
Gabon,new_infections,2029,722.1248226950355,331.0397163120567,1144.8127659574468,1476.6425531914895,2103.1687943262414,
Gabon,new_infections,2030,406.0964539007092,263.0936170212766,1121.9007092198583,1452.940425531915,2130.031205673759,
Gabon,aids_deaths,2020,2353.69434,,,,,
Gabon,aids_deaths,2021,2335.59955,,,,,
Gabon,aids_deaths,2022,2115.63245,,,,,
Gabon,aids_deaths,2023,1877.39929,,,,,
Gabon,aids_deaths,2024,1690.39929,,,,,
Gabon,aids_deaths,2025,1517.2346002621232,1474.043250327654,1516.127129750983,1516.127129750983,1516.127129750983,1516.127129750983
Gabon,aids_deaths,2026,1368.8335517693315,1191.6382699868939,1406.4875491480996,1518.3420707732635,1520.5570117955438,
